Vivado Simulator 2017.2
Time resolution is 1 ps
i=xxxx, x=xxxxxxxxxxxxxxxx, y=xxxxxxxxxxxxxxxx12868
i=0111, x=0000000000101101, y=000000000010110012868
i=0111, x=0000000000010110, y=000000000001011012868
i=0111, x=0000000000001011, y=000000000000101112868
i=0111, x=0000000000000101, y=000000000000010112868
i=0111, x=0000000000000010, y=000000000000001012868
i=0111, x=0000000000000001, y=000000000000000112868
i=0111, x=0000000000000000, y=000000000000000012868
i=1000, x=0010110110010011, y=001011001110111112868
i=1000, x=0001011011001001, y=000101100111011112868
i=1000, x=0000101101100100, y=000010110011101112868
i=1000, x=0000010110110010, y=000001011001110112868
i=1000, x=0000001011011001, y=000000101100111012868
i=1000, x=0000000101101100, y=000000010110011112868
i=1000, x=0000000010110110, y=000000001011001112868
i=1000, x=0000000001011011, y=000000000101100112868
i=1000, x=0000000000101101, y=000000000010110012868
i=1000, x=0000000000010110, y=000000000001011012868
i=1000, x=0000000000001011, y=000000000000101112868
i=1000, x=0000000000000101, y=000000000000010112868
i=1000, x=0000000000000010, y=000000000000001012868
i=1000, x=0000000000000001, y=000000000000000112868
i=1000, x=0000000000000000, y=000000000000000012868
i=1001, x=0010110101100111, y=001011010001110012868
i=1001, x=0001011010110011, y=000101101000111012868
i=1001, x=0000101101011001, y=000010110100011112868
i=1001, x=0000010110101100, y=000001011010001112868
i=1001, x=0000001011010110, y=000000101101000112868
i=1001, x=0000000101101011, y=000000010110100012868
i=1001, x=0000000010110101, y=000000001011010012868
i=1001, x=0000000001011010, y=000000000101101012868
i=1001, x=0000000000101101, y=000000000010110112868
i=1001, x=0000000000010110, y=000000000001011012868
i=1001, x=0000000000001011, y=000000000000101112868
i=1001, x=0000000000000101, y=000000000000010112868
i=1001, x=0000000000000010, y=000000000000001012868
i=1001, x=0000000000000001, y=000000000000000112868
i=1001, x=0000000000000000, y=000000000000000012868
i=1010, x=0010110101010001, y=001011010011001012868
i=1010, x=0001011010101000, y=000101101001100112868
i=1010, x=0000101101010100, y=000010110100110012868
i=1010, x=0000010110101010, y=000001011010011012868
i=1010, x=0000001011010101, y=000000101101001112868
i=1010, x=0000000101101010, y=000000010110100112868
i=1010, x=0000000010110101, y=000000001011010012868
i=1010, x=0000000001011010, y=000000000101101012868
i=1010, x=0000000000101101, y=000000000010110112868
i=1010, x=0000000000010110, y=000000000001011012868
i=1010, x=0000000000001011, y=000000000000101112868
i=1010, x=0000000000000101, y=000000000000010112868
i=1010, x=0000000000000010, y=000000000000001012868
i=1010, x=0000000000000001, y=000000000000000112868
i=1010, x=0000000000000000, y=000000000000000012868
i=1011, x=0010110101000110, y=001011010011110112868
i=1011, x=0001011010100011, y=000101101001111012868
i=1011, x=0000101101010001, y=000010110100111112868
i=1011, x=0000010110101000, y=000001011010011112868
i=1011, x=0000001011010100, y=000000101101001112868
i=1011, x=0000000101101010, y=000000010110100112868
i=1011, x=0000000010110101, y=000000001011010012868
i=1011, x=0000000001011010, y=000000000101101012868
i=1011, x=0000000000101101, y=000000000010110112868
