Vivado Simulator 2017.2
Time resolution is 1 ps
i=xxxx, x=xxxxxxxxxxxxxxxx, y=xxxxxxxxxxxxxxxx 0
i=xxxx, x=0010011011011101, y=0000000000000000 0
i=0000, x=0010011011011101, y=0000000000000000 0
i=0000, x=0001001101101110, y=0000000000000000 1
i=0000, x=0000100110110111, y=0000000000000000 2
i=0000, x=0000010011011011, y=0000000000000000 3
i=0000, x=0000001001101101, y=0000000000000000 4
i=0000, x=0000000100110110, y=0000000000000000 5
i=0000, x=0000000010011011, y=0000000000000000 6
i=0000, x=0000000001001101, y=0000000000000000 7
i=0000, x=0000000000100110, y=0000000000000000 8
i=0000, x=0000000000010011, y=0000000000000000 9
i=0000, x=0000000000001001, y=000000000000000010
i=0000, x=0000000000000100, y=000000000000000011
i=0000, x=0000000000000010, y=000000000000000012
i=0000, x=0000000000000001, y=000000000000000013
i=0000, x=0000000000000000, y=000000000000000014
i=0000, x=0000000000000000, y=000000000000000015
i=0001, x=0000000000000000, y=000000000000000015
i=0001, x=0010011011011101, y=001001101101110116
i=0001, x=0001001101101110, y=000100110110111017
i=0001, x=0000100110110111, y=000010011011011118
i=0001, x=0000010011011011, y=000001001101101119
i=0001, x=0000001001101101, y=000000100110110120
i=0001, x=0000000100110110, y=000000010011011021
i=0001, x=0000000010011011, y=000000001001101122
i=0001, x=0000000001001101, y=000000000100110123
i=0001, x=0000000000100110, y=000000000010011024
i=0001, x=0000000000010011, y=000000000001001125
i=0001, x=0000000000001001, y=000000000000100126
i=0001, x=0000000000000100, y=000000000000010027
i=0001, x=0000000000000010, y=000000000000001028
i=0001, x=0000000000000001, y=000000000000000129
i=0001, x=0000000000000000, y=000000000000000030
i=0001, x=0000000000000000, y=000000000000000031
i=0010, x=0000000000000000, y=000000000000000031
i=0010, x=0001001101101111, y=0011101001001011 0
i=0010, x=0000100110110111, y=0001110100100101 1
i=0010, x=0000010011011011, y=0000111010010010 2
i=0010, x=0000001001101101, y=0000011101001001 3
i=0010, x=0000000100110110, y=0000001110100100 4
i=0010, x=0000000010011011, y=0000000111010010 5
i=0010, x=0000000001001101, y=0000000011101001 6
i=0010, x=0000000000100110, y=0000000001110100 7
i=0010, x=0000000000010011, y=0000000000111010 8
i=0010, x=0000000000001001, y=0000000000011101 9
i=0010, x=0000000000000100, y=000000000000111010
i=0010, x=0000000000000010, y=000000000000011111
i=0010, x=0000000000000001, y=000000000000001112
